LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:10,-74,,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:11,-74,,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:12,-74,,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:13,-74,,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:14,-73,,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:15,-74,,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:16,-74,,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:10,-74,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,XAMK,7C:57:3C:06:41:11,-73,OPN,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:12,-73,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,eduroam,7C:57:3C:06:41:13,-74,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:14,-74,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:15,-73,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:16,-73,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:10,-73,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,XAMK,7C:57:3C:06:41:11,-73,OPN,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:12,-74,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,eduroam,7C:57:3C:06:41:13,-73,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:14,-73,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:15,-73,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:24,1900-01-00 00:00:00,,7C:57:3C:06:41:16,-73,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,,64:12:25:7C:67:AF,-62,,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,,64:12:25:7C:67:AB,-62,,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,,64:12:25:7C:67:AE,-61,,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,,64:12:25:7C:67:AC,-62,,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB_IOT,64:12:25:7C:67:AF,-62,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB-NG Staff,64:12:25:7C:67:AB,-61,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB GUEST,64:12:25:7C:67:AE,-61,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB-NG Student,64:12:25:7C:67:AC,-61,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB_IOT,64:12:25:7C:67:AF,-62,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB-NG Staff,64:12:25:7C:67:AB,-62,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB GUEST,64:12:25:7C:67:AE,-60,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB-NG Student,64:12:25:7C:67:AC,-62,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB_IOT,64:12:25:7C:67:AF,-63,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB-NG Staff,64:12:25:7C:67:AB,-61,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB GUEST,64:12:25:7C:67:AE,-62,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB-NG Student,64:12:25:7C:67:AC,-61,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB_IOT,64:12:25:7C:67:AF,-62,WPA2,0.000000,0.000000,0.000,0.000
2021-03-18 12:32:27,1900-01-00 00:00:00,ICTLAB-NG Staff,64:12:25:7C:67:AB,-62,WPA
